Customer_ID,Gender,Age,Income_Bracket,Employment_Type,Marital_Status,City,Education_Level,Preferred_Travel_Mode,Preferred_Travel_Season,Travel_Purpose,Booking_Method,Has_Traveled_Abroad,Frequent_Traveler,Has_Children,Credit_Card_Holder,Internet_Usage,Social_Media_Usage,Travel_Insurance_Awareness,Purchased_Travel_Plan
2716,Male,46,10-15 LPA,Salaried,Married,Pune,Graduate,Own Vehicle,Winter,Leisure,Online,No,No,No,No,Medium,High,Aware,1
2717,Female,28,<3 LPA,Salaried,Married,Kolkata,Graduate,Flight,Winter,Leisure,Online,No,No,Yes,No,Medium,High,Aware,0
2718,Male,26,<3 LPA,Salaried,Single,Kolkata,Post-Graduate,Train,Monsoon,Leisure,Direct Booking,Yes,Yes,Yes,Yes,Medium,High,Aware,1
2719,Male,50,10-15 LPA,Salaried,Married,Chennai,High School,Flight,Winter,Family Visit,Online,No,No,Yes,No,Low,Medium,Aware,1
2720,Female,59,10-15 LPA,Salaried,Married,Bangalore,Post-Graduate,Train,Monsoon,Business,Online,No,No,Yes,Yes,Medium,High,Not Aware,0
2721,Female,43,10-15 LPA,Salaried,Single,Bangalore,Post-Graduate,Bus,Winter,Leisure,Online,No,No,Yes,Yes,Low,High,Not Aware,0
2722,Male,52,>15 LPA,Self-Employed,Married,Mumbai,Doctorate,Own Vehicle,Summer,Leisure,Online,Yes,No,No,Yes,High,Medium,Aware,1
2723,Female,42,<3 LPA,Salaried,Single,Delhi,Graduate,Flight,Monsoon,Leisure,Online,Yes,No,No,No,Medium,Medium,Not Aware,0
2724,Male,29,3-6 LPA,Salaried,Married,Kolkata,Graduate,Flight,Summer,Leisure,Online,No,No,Yes,No,Medium,Medium,Aware,0
2725,Male,51,>15 LPA,Salaried,Single,Kolkata,Post-Graduate,Own Vehicle,Summer,Leisure,Direct Booking,No,No,Yes,No,Medium,Low,Aware,1
2726,Female,27,<3 LPA,Student,Married,Chennai,Graduate,Bus,Monsoon,Leisure,Online,No,Yes,Yes,No,Medium,Medium,Not Aware,1
2727,Female,29,6-10 LPA,Salaried,Married,Bangalore,High School,Flight,Summer,Business,Online,No,No,Yes,No,High,Medium,Not Aware,0
2728,Male,33,6-10 LPA,Unemployed,Married,Pune,Graduate,Own Vehicle,Winter,Family Visit,Online,No,No,No,Yes,Medium,Medium,Not Aware,0
2729,Male,23,<3 LPA,Self-Employed,Married,Delhi,Post-Graduate,Flight,Monsoon,Business,Online,No,No,No,No,Low,Medium,Not Aware,0
2730,Male,55,3-6 LPA,Salaried,Married,Pune,Graduate,Bus,Winter,Leisure,Offline Agent,No,No,Yes,Yes,Medium,Medium,Aware,0
2731,Male,53,6-10 LPA,Salaried,Single,Delhi,Graduate,Flight,Summer,Business,Online,No,No,No,No,High,Low,Aware,0
2732,Female,41,10-15 LPA,Self-Employed,Married,Delhi,Graduate,Flight,Monsoon,Leisure,Online,No,No,No,Yes,Medium,Medium,Aware,1
2733,Female,51,6-10 LPA,Self-Employed,Married,Kolkata,Graduate,Bus,Summer,Pilgrimage,Direct Booking,No,No,No,No,Medium,High,Not Aware,0
2734,Female,54,6-10 LPA,Self-Employed,Married,Pune,High School,Flight,Winter,Leisure,Online,No,No,No,Yes,Low,Low,Not Aware,1
2735,Female,52,3-6 LPA,Student,Divorced,Pune,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,Yes,Yes,Yes,Medium,High,Not Aware,1
2736,Female,55,3-6 LPA,Student,Single,Delhi,Graduate,Bus,Summer,Leisure,Direct Booking,No,Yes,No,No,Low,High,Aware,1
2737,Male,35,<3 LPA,Salaried,Single,Mumbai,Graduate,Flight,Monsoon,Family Visit,Online,No,No,Yes,No,Low,High,Aware,0
2738,Female,52,3-6 LPA,Student,Married,Mumbai,Post-Graduate,Bus,Summer,Leisure,Online,No,No,No,Yes,Medium,Medium,Aware,0
2739,Female,26,<3 LPA,Self-Employed,Single,Bangalore,Graduate,Train,Winter,Leisure,Offline Agent,No,No,Yes,Yes,Medium,Medium,Not Aware,0
2740,Female,41,3-6 LPA,Salaried,Single,Ahmedabad,Post-Graduate,Own Vehicle,Monsoon,Pilgrimage,Online,No,No,No,No,Medium,Medium,Aware,0
2741,Female,53,3-6 LPA,Self-Employed,Married,Delhi,Graduate,Flight,Summer,Family Visit,Online,No,No,No,No,Medium,Low,Aware,0
2742,Female,52,3-6 LPA,Self-Employed,Single,Pune,Graduate,Own Vehicle,Summer,Pilgrimage,Offline Agent,No,Yes,No,Yes,High,Medium,Not Aware,1
2743,Male,39,<3 LPA,Salaried,Single,Bangalore,Post-Graduate,Flight,Winter,Leisure,Direct Booking,No,No,Yes,No,Medium,Medium,Not Aware,0
2744,Male,53,6-10 LPA,Salaried,Divorced,Ahmedabad,Post-Graduate,Train,Monsoon,Business,Online,No,No,No,Yes,High,Medium,Not Aware,0
2745,Male,48,6-10 LPA,Salaried,Single,Hyderabad,Graduate,Train,Summer,Business,Online,No,No,No,Yes,High,High,Aware,0
2746,Female,51,<3 LPA,Salaried,Single,Kolkata,High School,Own Vehicle,Winter,Leisure,Online,No,Yes,Yes,No,High,Low,Aware,1
2747,Male,41,>15 LPA,Salaried,Single,Mumbai,Graduate,Own Vehicle,Monsoon,Business,Online,No,No,No,No,Medium,Medium,Aware,1
2748,Male,54,<3 LPA,Salaried,Married,Mumbai,High School,Bus,Summer,Leisure,Online,No,Yes,Yes,Yes,Low,Medium,Aware,1
2749,Female,35,10-15 LPA,Salaried,Married,Kolkata,Graduate,Flight,Summer,Leisure,Online,No,Yes,Yes,No,Medium,Low,Aware,1
2750,Female,34,<3 LPA,Salaried,Single,Chennai,Graduate,Flight,Monsoon,Leisure,Offline Agent,No,No,Yes,No,High,Medium,Aware,0
2751,Female,39,10-15 LPA,Student,Single,Hyderabad,Post-Graduate,Own Vehicle,Monsoon,Leisure,Online,No,No,Yes,No,High,Low,Aware,1
2752,Male,35,<3 LPA,Salaried,Married,Pune,Graduate,Bus,Summer,Leisure,Online,No,No,Yes,No,Medium,Medium,Aware,0
2753,Male,26,10-15 LPA,Salaried,Single,Mumbai,High School,Train,Winter,Family Visit,Online,No,No,No,No,Medium,Low,Not Aware,0
2754,Female,29,3-6 LPA,Salaried,Divorced,Pune,Graduate,Flight,Winter,Leisure,Online,No,Yes,Yes,Yes,High,Low,Aware,1
2755,Female,57,6-10 LPA,Student,Married,Delhi,Graduate,Train,Winter,Business,Online,No,No,Yes,No,High,Medium,Aware,0
2756,Male,40,3-6 LPA,Salaried,Single,Kolkata,Post-Graduate,Bus,Monsoon,Leisure,Online,No,Yes,No,Yes,Medium,High,Aware,1
2757,Male,54,<3 LPA,Salaried,Married,Delhi,Post-Graduate,Flight,Summer,Business,Direct Booking,No,Yes,No,No,Low,Medium,Aware,1
2758,Female,58,10-15 LPA,Salaried,Single,Kolkata,Doctorate,Bus,Winter,Business,Offline Agent,No,Yes,No,No,High,Medium,Aware,1
2759,Female,46,<3 LPA,Unemployed,Single,Pune,Post-Graduate,Bus,Monsoon,Business,Direct Booking,No,No,Yes,No,Low,Medium,Not Aware,0
2760,Male,38,>15 LPA,Self-Employed,Single,Delhi,Graduate,Flight,Summer,Leisure,Online,No,No,Yes,Yes,Medium,Medium,Aware,1
2761,Female,48,<3 LPA,Salaried,Married,Kolkata,Post-Graduate,Train,Summer,Family Visit,Online,No,No,Yes,No,Medium,High,Aware,0
2762,Male,29,3-6 LPA,Salaried,Single,Pune,Graduate,Train,Monsoon,Business,Online,Yes,No,Yes,No,Low,High,Aware,0
2763,Male,52,6-10 LPA,Salaried,Single,Pune,High School,Bus,Monsoon,Pilgrimage,Online,No,Yes,No,Yes,High,High,Aware,1
2764,Male,26,3-6 LPA,Salaried,Single,Bangalore,High School,Own Vehicle,Winter,Business,Offline Agent,No,No,Yes,No,Medium,High,Not Aware,0
2765,Male,34,3-6 LPA,Student,Married,Mumbai,Graduate,Bus,Summer,Family Visit,Online,No,No,Yes,No,Medium,Low,Not Aware,0
2766,Female,48,10-15 LPA,Salaried,Single,Bangalore,High School,Train,Summer,Family Visit,Online,No,Yes,Yes,No,Medium,Low,Not Aware,1
2767,Female,44,10-15 LPA,Self-Employed,Single,Pune,Post-Graduate,Bus,Summer,Leisure,Offline Agent,No,Yes,Yes,Yes,Low,Medium,Aware,1
2768,Male,33,>15 LPA,Salaried,Married,Mumbai,Graduate,Bus,Summer,Business,Online,Yes,No,No,Yes,High,Medium,Not Aware,0
2769,Male,32,3-6 LPA,Self-Employed,Married,Chennai,Post-Graduate,Flight,Winter,Leisure,Online,No,No,Yes,Yes,Medium,Low,Aware,1
2770,Male,39,6-10 LPA,Salaried,Married,Bangalore,Post-Graduate,Bus,Summer,Family Visit,Online,No,No,No,No,Low,Medium,Aware,0
2771,Male,41,3-6 LPA,Salaried,Single,Mumbai,Doctorate,Own Vehicle,Monsoon,Leisure,Offline Agent,No,No,Yes,No,High,Medium,Aware,0
2772,Male,47,3-6 LPA,Self-Employed,Married,Chennai,Post-Graduate,Own Vehicle,Winter,Business,Offline Agent,No,Yes,Yes,Yes,High,Medium,Not Aware,1
2773,Female,39,10-15 LPA,Salaried,Married,Pune,Post-Graduate,Own Vehicle,Summer,Leisure,Online,No,No,Yes,Yes,Medium,Medium,Not Aware,0
2774,Female,44,3-6 LPA,Self-Employed,Single,Mumbai,Graduate,Own Vehicle,Winter,Business,Offline Agent,Yes,No,No,No,High,Medium,Aware,0
2775,Female,46,3-6 LPA,Student,Married,Hyderabad,Graduate,Bus,Winter,Leisure,Offline Agent,No,No,Yes,No,Medium,Medium,Not Aware,0
2776,Female,48,3-6 LPA,Salaried,Married,Kolkata,Post-Graduate,Own Vehicle,Winter,Family Visit,Offline Agent,No,No,Yes,No,Low,Low,Aware,0
2777,Male,38,6-10 LPA,Student,Married,Bangalore,Post-Graduate,Own Vehicle,Monsoon,Leisure,Direct Booking,No,Yes,No,Yes,High,Medium,Aware,1
2778,Male,56,>15 LPA,Salaried,Divorced,Delhi,Doctorate,Flight,Winter,Leisure,Online,No,No,Yes,No,Medium,Medium,Not Aware,0
2779,Male,49,6-10 LPA,Salaried,Married,Chennai,Post-Graduate,Train,Summer,Leisure,Online,No,No,Yes,Yes,High,Low,Aware,0
2780,Male,37,3-6 LPA,Self-Employed,Single,Chennai,Graduate,Flight,Summer,Leisure,Online,No,No,No,No,Medium,Medium,Not Aware,0
2781,Male,24,10-15 LPA,Self-Employed,Married,Pune,Doctorate,Own Vehicle,Summer,Leisure,Online,No,Yes,No,No,Low,High,Not Aware,1
2782,Female,49,6-10 LPA,Salaried,Single,Pune,Doctorate,Train,Winter,Leisure,Offline Agent,Yes,No,Yes,No,Medium,Medium,Not Aware,0
2783,Male,24,<3 LPA,Student,Married,Delhi,Graduate,Flight,Summer,Leisure,Online,Yes,No,Yes,No,Medium,Low,Aware,0
2784,Female,30,<3 LPA,Unemployed,Single,Chennai,Graduate,Bus,Winter,Family Visit,Online,No,Yes,Yes,No,High,Medium,Aware,1
2785,Female,45,<3 LPA,Salaried,Single,Delhi,Post-Graduate,Train,Winter,Leisure,Online,No,No,No,Yes,Medium,Medium,Not Aware,0
2786,Female,51,3-6 LPA,Student,Married,Delhi,Graduate,Flight,Winter,Family Visit,Online,No,Yes,No,Yes,High,High,Not Aware,1
2787,Female,23,10-15 LPA,Self-Employed,Married,Mumbai,Post-Graduate,Flight,Summer,Leisure,Online,No,No,Yes,No,High,Low,Aware,1
2788,Male,22,3-6 LPA,Unemployed,Married,Bangalore,High School,Own Vehicle,Winter,Family Visit,Online,Yes,No,Yes,No,Medium,High,Not Aware,0
2789,Female,45,3-6 LPA,Salaried,Married,Hyderabad,Graduate,Train,Monsoon,Business,Online,No,No,Yes,Yes,Medium,Low,Not Aware,0
2790,Female,26,>15 LPA,Student,Single,Chennai,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,Yes,No,No,High,Medium,Not Aware,1
2791,Female,46,10-15 LPA,Salaried,Married,Mumbai,Graduate,Train,Winter,Leisure,Online,No,No,Yes,Yes,High,High,Aware,1
2792,Male,28,6-10 LPA,Student,Married,Hyderabad,High School,Own Vehicle,Summer,Family Visit,Online,Yes,Yes,No,No,High,High,Not Aware,1
2793,Male,55,3-6 LPA,Self-Employed,Married,Hyderabad,High School,Train,Winter,Leisure,Offline Agent,No,No,Yes,No,High,Medium,Aware,0
2794,Male,47,<3 LPA,Salaried,Married,Chennai,Post-Graduate,Train,Winter,Business,Offline Agent,No,No,No,Yes,Low,High,Aware,0
2795,Female,45,<3 LPA,Salaried,Single,Chennai,Graduate,Flight,Monsoon,Business,Online,No,No,Yes,No,High,Medium,Aware,0
2796,Female,38,<3 LPA,Student,Married,Mumbai,Graduate,Own Vehicle,Summer,Pilgrimage,Offline Agent,No,No,No,Yes,High,Medium,Aware,0
2797,Male,21,3-6 LPA,Self-Employed,Married,Chennai,Post-Graduate,Train,Summer,Leisure,Online,Yes,No,No,No,Medium,Low,Not Aware,0
2798,Female,59,6-10 LPA,Salaried,Single,Hyderabad,Graduate,Train,Winter,Leisure,Offline Agent,No,No,Yes,No,Low,Medium,Not Aware,0
2799,Male,23,<3 LPA,Salaried,Married,Chennai,Post-Graduate,Train,Summer,Leisure,Direct Booking,No,No,No,Yes,Low,Low,Aware,0
2800,Male,24,<3 LPA,Student,Single,Kolkata,Graduate,Bus,Winter,Pilgrimage,Online,No,Yes,Yes,No,Medium,Medium,Not Aware,1
2801,Female,57,<3 LPA,Salaried,Divorced,Kolkata,Post-Graduate,Train,Winter,Leisure,Offline Agent,Yes,Yes,No,No,High,High,Not Aware,1
2802,Female,35,6-10 LPA,Salaried,Married,Mumbai,Graduate,Bus,Monsoon,Leisure,Online,No,Yes,Yes,Yes,High,Medium,Aware,1
2803,Female,28,6-10 LPA,Unemployed,Single,Mumbai,Post-Graduate,Train,Summer,Leisure,Direct Booking,Yes,No,Yes,No,Medium,Medium,Not Aware,0
2804,Female,58,6-10 LPA,Salaried,Single,Mumbai,Graduate,Train,Summer,Leisure,Online,No,Yes,No,Yes,High,Medium,Aware,1
2805,Male,39,3-6 LPA,Salaried,Married,Chennai,Graduate,Flight,Monsoon,Leisure,Online,No,No,Yes,No,Medium,Medium,Aware,0
2806,Male,46,3-6 LPA,Salaried,Married,Bangalore,Doctorate,Flight,Summer,Family Visit,Offline Agent,No,No,Yes,No,Medium,Low,Aware,0
2807,Male,59,<3 LPA,Student,Divorced,Mumbai,Post-Graduate,Flight,Winter,Leisure,Online,No,No,No,Yes,Medium,Low,Not Aware,1
2808,Male,30,3-6 LPA,Salaried,Single,Bangalore,Post-Graduate,Flight,Summer,Leisure,Online,Yes,No,Yes,No,Medium,High,Not Aware,0
2809,Male,58,10-15 LPA,Self-Employed,Single,Delhi,Graduate,Own Vehicle,Summer,Leisure,Online,No,No,No,No,High,High,Not Aware,0
2810,Female,34,>15 LPA,Student,Divorced,Mumbai,Graduate,Train,Summer,Family Visit,Online,No,No,Yes,No,Medium,Medium,Not Aware,0
2811,Male,39,6-10 LPA,Salaried,Single,Bangalore,Graduate,Bus,Winter,Family Visit,Offline Agent,No,No,Yes,Yes,High,Medium,Not Aware,0
2812,Male,50,>15 LPA,Student,Married,Pune,Graduate,Train,Summer,Family Visit,Offline Agent,No,No,Yes,No,Medium,High,Not Aware,0
2813,Male,25,6-10 LPA,Salaried,Single,Ahmedabad,Graduate,Train,Winter,Family Visit,Online,No,No,Yes,No,Medium,Low,Aware,0
2814,Female,51,<3 LPA,Self-Employed,Married,Bangalore,Doctorate,Train,Monsoon,Pilgrimage,Offline Agent,Yes,No,No,No,Low,Medium,Aware,0
2815,Female,27,>15 LPA,Salaried,Single,Hyderabad,Graduate,Flight,Winter,Leisure,Online,No,No,No,No,Low,High,Aware,1
2816,Female,39,<3 LPA,Self-Employed,Married,Ahmedabad,Graduate,Train,Monsoon,Family Visit,Offline Agent,No,No,Yes,No,Low,Medium,Not Aware,0
2817,Female,51,6-10 LPA,Salaried,Married,Pune,Graduate,Train,Monsoon,Leisure,Online,No,No,No,Yes,High,High,Aware,0
2818,Male,59,3-6 LPA,Salaried,Divorced,Ahmedabad,Post-Graduate,Own Vehicle,Winter,Leisure,Online,No,No,Yes,Yes,Medium,Low,Aware,0
2819,Male,44,3-6 LPA,Unemployed,Single,Bangalore,Graduate,Own Vehicle,Winter,Leisure,Online,No,No,No,Yes,High,Low,Not Aware,0
2820,Female,54,6-10 LPA,Salaried,Single,Hyderabad,Graduate,Bus,Monsoon,Leisure,Online,No,No,No,Yes,High,Medium,Not Aware,0
2821,Female,43,3-6 LPA,Student,Single,Kolkata,Post-Graduate,Own Vehicle,Monsoon,Leisure,Online,No,No,Yes,No,Medium,High,Aware,0
2822,Male,60,3-6 LPA,Salaried,Married,Kolkata,Graduate,Flight,Summer,Pilgrimage,Offline Agent,No,Yes,No,No,Medium,Medium,Not Aware,1
2823,Male,26,3-6 LPA,Salaried,Married,Kolkata,Graduate,Own Vehicle,Winter,Leisure,Online,Yes,No,No,No,High,High,Aware,0
2824,Female,58,3-6 LPA,Student,Married,Bangalore,High School,Bus,Monsoon,Business,Online,Yes,No,No,Yes,Low,Low,Aware,0
2825,Female,56,>15 LPA,Salaried,Single,Bangalore,High School,Bus,Winter,Family Visit,Online,No,No,Yes,No,Medium,Medium,Aware,1
2826,Female,47,10-15 LPA,Student,Married,Delhi,High School,Own Vehicle,Winter,Leisure,Offline Agent,No,No,Yes,Yes,High,High,Aware,1
2827,Female,31,3-6 LPA,Salaried,Single,Bangalore,Graduate,Train,Monsoon,Leisure,Online,No,Yes,No,No,Medium,Medium,Not Aware,1
2828,Male,25,<3 LPA,Salaried,Single,Chennai,Graduate,Bus,Monsoon,Business,Offline Agent,No,No,No,No,High,Low,Aware,0
2829,Male,37,10-15 LPA,Self-Employed,Married,Chennai,High School,Own Vehicle,Winter,Leisure,Online,No,No,Yes,No,High,High,Aware,1
2830,Male,27,<3 LPA,Salaried,Single,Kolkata,High School,Own Vehicle,Summer,Business,Online,No,No,Yes,Yes,High,High,Not Aware,0
2831,Female,47,3-6 LPA,Salaried,Married,Pune,High School,Own Vehicle,Monsoon,Leisure,Online,No,No,Yes,Yes,High,Medium,Aware,0
2832,Female,35,3-6 LPA,Student,Married,Pune,Graduate,Bus,Winter,Leisure,Online,Yes,No,No,No,Medium,Medium,Not Aware,0
2833,Male,33,10-15 LPA,Salaried,Divorced,Chennai,High School,Train,Summer,Business,Online,Yes,No,Yes,No,High,Medium,Aware,1
2834,Male,31,<3 LPA,Salaried,Married,Delhi,High School,Flight,Winter,Pilgrimage,Online,No,No,Yes,Yes,Medium,Low,Not Aware,1
2835,Male,46,<3 LPA,Student,Single,Bangalore,Doctorate,Own Vehicle,Winter,Leisure,Online,No,No,No,No,Low,Medium,Aware,0
2836,Male,42,3-6 LPA,Student,Married,Delhi,Graduate,Train,Monsoon,Family Visit,Online,No,No,Yes,Yes,Medium,Medium,Aware,0
2837,Female,48,3-6 LPA,Salaried,Single,Pune,Post-Graduate,Flight,Summer,Business,Direct Booking,No,Yes,Yes,No,Medium,Medium,Aware,1
2838,Male,44,6-10 LPA,Self-Employed,Single,Bangalore,Post-Graduate,Own Vehicle,Winter,Family Visit,Online,No,No,No,Yes,Low,Medium,Not Aware,0
2839,Male,49,3-6 LPA,Self-Employed,Married,Hyderabad,Graduate,Bus,Summer,Leisure,Online,No,No,Yes,No,Medium,Medium,Not Aware,0
2840,Male,29,3-6 LPA,Self-Employed,Married,Delhi,Post-Graduate,Flight,Summer,Pilgrimage,Online,No,No,Yes,Yes,High,Medium,Not Aware,1
2841,Male,24,<3 LPA,Salaried,Single,Kolkata,Graduate,Train,Monsoon,Leisure,Online,No,No,No,No,Low,Medium,Aware,0
2842,Male,38,<3 LPA,Unemployed,Single,Pune,Graduate,Flight,Winter,Pilgrimage,Online,No,No,Yes,Yes,High,High,Aware,1
2843,Male,36,10-15 LPA,Salaried,Married,Chennai,Post-Graduate,Train,Winter,Family Visit,Online,No,No,Yes,Yes,Medium,High,Aware,1
2844,Male,53,10-15 LPA,Self-Employed,Single,Chennai,High School,Train,Monsoon,Family Visit,Offline Agent,No,Yes,Yes,No,High,Medium,Not Aware,1
2845,Female,49,3-6 LPA,Student,Married,Chennai,Graduate,Train,Monsoon,Family Visit,Online,No,No,No,Yes,Low,Medium,Not Aware,0
2846,Female,59,<3 LPA,Self-Employed,Single,Pune,High School,Own Vehicle,Winter,Family Visit,Direct Booking,No,Yes,Yes,No,High,High,Not Aware,1
2847,Female,30,<3 LPA,Student,Single,Bangalore,Post-Graduate,Flight,Monsoon,Family Visit,Online,No,No,No,No,Medium,High,Not Aware,0
2848,Female,29,6-10 LPA,Salaried,Married,Bangalore,Graduate,Bus,Winter,Family Visit,Offline Agent,No,Yes,Yes,No,Low,Medium,Not Aware,1
2849,Male,51,6-10 LPA,Salaried,Married,Delhi,Post-Graduate,Own Vehicle,Summer,Leisure,Online,Yes,No,No,Yes,Medium,High,Aware,0
2850,Female,48,3-6 LPA,Student,Married,Kolkata,Graduate,Bus,Summer,Pilgrimage,Online,No,No,Yes,No,Medium,Low,Aware,0
2851,Female,23,6-10 LPA,Salaried,Married,Ahmedabad,Graduate,Bus,Monsoon,Leisure,Online,No,No,No,No,Medium,Medium,Aware,0
2852,Male,34,6-10 LPA,Student,Single,Mumbai,Graduate,Flight,Summer,Family Visit,Online,No,Yes,No,No,Medium,Medium,Not Aware,1
2853,Male,45,>15 LPA,Salaried,Married,Pune,Graduate,Own Vehicle,Winter,Family Visit,Online,No,No,Yes,No,Medium,Medium,Aware,1
2854,Female,35,<3 LPA,Student,Single,Bangalore,Post-Graduate,Flight,Summer,Family Visit,Offline Agent,No,No,Yes,No,Medium,Medium,Not Aware,0
2855,Female,22,<3 LPA,Self-Employed,Married,Pune,Graduate,Own Vehicle,Summer,Family Visit,Offline Agent,No,Yes,Yes,Yes,Medium,Medium,Aware,1
2856,Male,44,<3 LPA,Salaried,Married,Mumbai,Graduate,Own Vehicle,Summer,Leisure,Direct Booking,No,No,Yes,No,High,Medium,Aware,0
2857,Female,34,10-15 LPA,Salaried,Single,Mumbai,Graduate,Flight,Winter,Family Visit,Online,Yes,No,Yes,No,High,Medium,Aware,1
2858,Male,27,10-15 LPA,Self-Employed,Single,Bangalore,Graduate,Own Vehicle,Monsoon,Leisure,Online,No,No,Yes,No,Low,Low,Not Aware,0
2859,Male,56,6-10 LPA,Salaried,Married,Ahmedabad,Graduate,Flight,Winter,Business,Direct Booking,Yes,No,Yes,No,Medium,Low,Aware,0
2860,Male,44,<3 LPA,Self-Employed,Single,Ahmedabad,Post-Graduate,Train,Monsoon,Family Visit,Online,No,No,Yes,No,Medium,High,Aware,0
2861,Male,47,3-6 LPA,Self-Employed,Divorced,Delhi,Post-Graduate,Train,Summer,Family Visit,Online,Yes,No,Yes,No,Medium,Medium,Aware,0
2862,Female,57,3-6 LPA,Salaried,Single,Kolkata,Graduate,Bus,Summer,Family Visit,Online,No,Yes,Yes,No,High,Medium,Not Aware,1
2863,Male,58,6-10 LPA,Student,Single,Ahmedabad,High School,Flight,Summer,Business,Online,No,No,Yes,Yes,Medium,Low,Aware,1
2864,Male,50,3-6 LPA,Salaried,Single,Pune,Post-Graduate,Bus,Winter,Leisure,Online,No,No,No,Yes,Low,Medium,Not Aware,0
2865,Female,47,<3 LPA,Salaried,Single,Mumbai,High School,Own Vehicle,Summer,Business,Online,No,No,Yes,Yes,Medium,High,Aware,0
2866,Male,59,6-10 LPA,Salaried,Married,Delhi,Graduate,Train,Winter,Business,Online,No,Yes,No,No,High,High,Aware,1
2867,Female,35,3-6 LPA,Self-Employed,Married,Delhi,High School,Flight,Winter,Leisure,Online,Yes,Yes,Yes,No,High,High,Aware,1
2868,Female,46,3-6 LPA,Unemployed,Married,Kolkata,Graduate,Bus,Monsoon,Leisure,Online,No,No,No,Yes,Low,High,Aware,0
2869,Female,21,<3 LPA,Salaried,Single,Bangalore,Graduate,Own Vehicle,Monsoon,Family Visit,Online,No,No,No,Yes,Medium,Medium,Aware,0
2870,Male,24,10-15 LPA,Salaried,Divorced,Ahmedabad,Graduate,Own Vehicle,Monsoon,Business,Online,No,No,No,No,Medium,Medium,Not Aware,0
2871,Female,49,6-10 LPA,Salaried,Single,Kolkata,Post-Graduate,Flight,Monsoon,Family Visit,Online,No,No,Yes,No,Medium,Low,Aware,0
2872,Female,21,>15 LPA,Student,Divorced,Pune,Graduate,Own Vehicle,Winter,Leisure,Online,No,No,No,No,Medium,Low,Aware,1
2873,Male,42,3-6 LPA,Salaried,Single,Mumbai,Graduate,Bus,Winter,Business,Online,No,No,Yes,Yes,Medium,Medium,Aware,0
2874,Female,31,>15 LPA,Student,Married,Delhi,Graduate,Flight,Monsoon,Leisure,Direct Booking,No,No,Yes,No,Low,Low,Not Aware,0
2875,Female,30,10-15 LPA,Salaried,Married,Mumbai,High School,Bus,Monsoon,Pilgrimage,Online,No,No,Yes,No,High,Medium,Aware,1
2876,Female,37,6-10 LPA,Student,Single,Pune,Post-Graduate,Flight,Monsoon,Leisure,Online,No,Yes,Yes,No,Medium,Medium,Aware,1
2877,Female,56,>15 LPA,Self-Employed,Single,Pune,Post-Graduate,Bus,Monsoon,Family Visit,Online,No,No,Yes,No,High,High,Not Aware,0
2878,Female,46,3-6 LPA,Unemployed,Married,Delhi,Graduate,Own Vehicle,Monsoon,Business,Online,No,No,Yes,No,Medium,Medium,Aware,0
2879,Male,41,3-6 LPA,Salaried,Single,Bangalore,Graduate,Train,Monsoon,Family Visit,Online,No,No,No,Yes,Low,Medium,Aware,0
2880,Female,33,<3 LPA,Self-Employed,Married,Pune,Graduate,Own Vehicle,Monsoon,Leisure,Offline Agent,No,No,No,No,Low,Low,Aware,0
2881,Female,29,6-10 LPA,Student,Married,Delhi,Post-Graduate,Own Vehicle,Summer,Pilgrimage,Online,No,No,Yes,No,Medium,High,Aware,0
2882,Male,31,6-10 LPA,Self-Employed,Married,Bangalore,Post-Graduate,Bus,Monsoon,Family Visit,Online,No,No,Yes,No,High,High,Aware,0
2883,Male,31,10-15 LPA,Salaried,Divorced,Bangalore,Graduate,Bus,Monsoon,Family Visit,Offline Agent,No,Yes,Yes,Yes,Medium,Medium,Not Aware,1
2884,Male,26,<3 LPA,Unemployed,Single,Mumbai,Post-Graduate,Train,Winter,Leisure,Direct Booking,No,No,Yes,No,High,Medium,Not Aware,0
2885,Female,21,3-6 LPA,Salaried,Single,Mumbai,Graduate,Train,Monsoon,Family Visit,Online,No,No,No,Yes,Medium,Low,Aware,0
2886,Male,26,<3 LPA,Salaried,Single,Kolkata,High School,Bus,Monsoon,Business,Online,No,Yes,Yes,No,Low,High,Aware,1
2887,Female,33,6-10 LPA,Salaried,Married,Mumbai,Graduate,Own Vehicle,Monsoon,Business,Online,No,No,Yes,Yes,High,Medium,Not Aware,0
2888,Female,42,<3 LPA,Self-Employed,Divorced,Hyderabad,Graduate,Flight,Winter,Family Visit,Offline Agent,Yes,No,No,No,Medium,Medium,Not Aware,0
2889,Male,51,>15 LPA,Student,Divorced,Mumbai,High School,Train,Winter,Business,Offline Agent,No,No,Yes,Yes,Medium,Medium,Aware,1
2890,Male,42,3-6 LPA,Salaried,Divorced,Mumbai,Graduate,Own Vehicle,Summer,Leisure,Direct Booking,No,Yes,No,No,Low,High,Aware,1
2891,Female,57,3-6 LPA,Salaried,Married,Kolkata,Graduate,Flight,Winter,Leisure,Online,No,No,No,Yes,Medium,High,Not Aware,1
2892,Male,47,10-15 LPA,Self-Employed,Divorced,Delhi,Post-Graduate,Own Vehicle,Winter,Business,Online,No,No,Yes,Yes,Medium,High,Not Aware,0
